Date,Price
30/11/2022,17163.9
29/11/2022,16440.4
28/11/2022,16211.7
27/11/2022,16425.6
26/11/2022,16456.5
25/11/2022,16512.3
24/11/2022,16601.2
23/11/2022,16623.9
22/11/2022,16212.9
21/11/2022,15776.2
20/11/2022,16286.7
19/11/2022,16699.2
18/11/2022,16638.3
17/11/2022,16691.2
16/11/2022,16540.5
15/11/2022,16895.1
14/11/2022,16613.7
13/11/2022,16324.5
12/11/2022,16795.2
11/11/2022,17049.9
10/11/2022,17589.1
09/11/2022,15886.9
08/11/2022,18527.4
07/11/2022,20589.0
06/11/2022,20916.3
05/11/2022,21301.6
04/11/2022,21145.9
03/11/2022,20206.4
02/11/2022,20154.4
01/11/2022,20483.5
Oct 31 2022,20496.3
Oct 30 2022,20626.3
Oct 29 2022,20809.8
Oct 28 2022,20594.4
Oct 27 2022,20292.9
Oct 26 2022,20769.5
Oct 25 2022,20082.7
Oct 24 2022,19331.5
Oct 23 2022,19571.2
Oct 22 2022,19204.8
Oct 21 2022,19162.6
Oct 20 2022,19042.9
Oct 19 2022,19123.9
Oct 18 2022,19328.2
Oct 17 2022,19548.2
Oct 16 2022,19261.9
Oct 15 2022,19068.7
Oct 14 2022,19181.8
Oct 13 2022,19379.8
Oct 12 2022,19154.8
Oct 11 2022,19059.1
Oct 10 2022,19134.6
Oct 09 2022,19441.0
Oct 08 2022,19415.0
Oct 07 2022,19531.3
Oct 06 2022,19956.7
Oct 05 2022,20157.5
Oct 04 2022,20340.2
Oct 03 2022,19628.3
Oct 02 2022,19052.2
Oct 01 2022,19311.9
30/09/2022,19423.0
29/09/2022,19593.0
28/09/2022,19411.0
27/09/2022,19081.0
26/09/2022,19225.7
25/09/2022,18803.2
24/09/2022,18925.2
23/09/2022,19293.5
22/09/2022,19404.0
21/09/2022,18489.0
20/09/2022,18872.4
19/09/2022,19538.9
18/09/2022,19418.8
17/09/2022,20113.5
16/09/2022,19802.4
15/09/2022,19701.7
14/09/2022,20222.5
13/09/2022,20175.5
12/09/2022,22395.3
11/09/2022,21834.9
10/09/2022,21650.4
09/09/2022,21365.2
08/09/2022,19317.4
07/09/2022,19281.5
06/09/2022,18786.4
05/09/2022,19793.1
04/09/2022,19999.9
03/09/2022,19831.4
02/09/2022,19952.7
01/09/2022,20126.1
Aug 31 2022,20043.9
Aug 30 2022,19792.6
Aug 29 2022,20295.8
Aug 28 2022,19550.2
Aug 27 2022,20033.9
Aug 26 2022,20249.9
Aug 25 2022,21565.4
Aug 24 2022,21365.2
Aug 23 2022,21517.2
Aug 22 2022,21416.3
Aug 21 2022,21517.2
Aug 20 2022,21138.9
Aug 19 2022,20831.3
Aug 18 2022,23203.6
Aug 17 2022,23338.0
Aug 16 2022,23856.8
Aug 15 2022,24101.7
Aug 14 2022,24302.8
Aug 13 2022,24442.5
Aug 12 2022,24398.7
Aug 11 2022,23935.3
Aug 10 2022,23962.9
Aug 09 2022,23146.7
Aug 08 2022,23816.3
Aug 07 2022,23175.3
Aug 06 2022,22944.2
Aug 05 2022,23308.2
Aug 04 2022,22612.1
Aug 03 2022,22820.8
Aug 02 2022,22988.6
Aug 01 2022,23271.2
