Date ,BTC_Price
7/18/2018,7383.60
7/19/2018,7477.50
7/20/2018,7339.40
7/21/2018,7408.70
7/22/2018,7412.30
7/23/2018,7723.00
7/24/2018,8407.00
7/25/2018,8173.70
7/26/2018,7937.00
7/27/2018,8187.40
7/28/2018,8234.10
7/29/2018,8215.60
7/30/2018,8177.10
7/31/2018,7729.40
8/1/2018,7606.40
8/2/2018,7535.60
8/3/2018,7419.00
8/4/2018,7014.30
8/5/2018,7027.10
8/6/2018,6943.60
8/7/2018,6724.90
8/8/2018,6283.60
8/9/2018,6538.80
8/10/2018,6152.30
8/11/2018,6231.60
8/12/2018,6313.00
8/13/2018,6255.30
8/14/2018,6190.20
8/15/2018,6256.90
8/16/2018,6306.70
8/17/2018,6581.70
8/18/2018,6379.10
8/19/2018,6481.50
8/20/2018,6268.10
8/21/2018,6482.20
8/22/2018,6359.60
8/23/2018,6521.20
8/24/2018,6680.40
8/25/2018,6734.80
8/26/2018,6712.70
8/27/2018,6897.60
8/28/2018,7074.60
8/29/2018,7029.10
8/30/2018,6993.70
8/31/2018,7033.80
9/1/2018,7189.60
9/2/2018,7293.90
9/3/2018,7264.20
9/4/2018,7377.50
9/5/2018,6706.80
9/6/2018,6514.00
9/7/2018,6390.90
9/8/2018,6184.30
9/9/2018,6238.50
9/10/2018,6321.00
9/11/2018,6293.90
9/12/2018,6338.00
9/13/2018,6482.90
9/14/2018,6483.70
9/15/2018,6519.00
9/16/2018,6500.20
9/17/2018,6251.90
9/18/2018,6342.00
9/19/2018,6390.40
9/20/2018,6489.20
9/21/2018,6766.70
9/22/2018,6729.60
9/23/2018,6704.10
9/24/2018,6584.10
9/25/2018,6445.10
9/26/2018,6468.10
9/27/2018,6689.20
9/28/2018,6636.00
9/29/2018,6603.90
9/30/2018,6635.20
10/1/2018,6608.20
10/2/2018,6549.90
10/3/2018,6507.80
10/4/2018,6584.20
10/5/2018,6639.10
10/6/2018,6596.30
10/7/2018,6611.00
10/8/2018,6669.60
10/9/2018,6650.80
10/10/2018,6618.00
10/11/2018,6239.10
10/12/2018,6291.30
10/13/2018,6321.70
10/14/2018,6326.80
10/15/2018,6699.80
10/16/2018,6705.30
10/17/2018,6686.60
10/18/2018,6574.10
10/19/2018,6512.00
10/20/2018,6572.20
10/21/2018,6583.00
10/22/2018,6555.80
10/23/2018,6528.70
10/24/2018,6530.70
10/25/2018,6507.00
10/26/2018,6510.00
10/27/2018,6494.20
10/28/2018,6486.10
10/29/2018,6335.00
10/30/2018,6325.70
10/31/2018,6365.90
11/1/2018,6400.50
11/2/2018,6424.70
11/3/2018,6386.20
11/4/2018,6478.20
11/5/2018,6459.70
11/6/2018,6502.80
11/7/2018,6565.30
11/8/2018,6474.00
11/9/2018,6412.00
11/10/2018,6427.10
11/11/2018,6446.10
11/12/2018,6435.00
11/13/2018,6429.20
11/14/2018,5842.40
11/15/2018,5718.90
11/16/2018,5636.20
11/17/2018,5621.80
11/18/2018,5658.30
11/19/2018,4883.80
11/20/2018,4524.60
11/21/2018,4638.70
11/22/2018,4356.00
11/23/2018,4398.00
11/24/2018,3920.40
11/25/2018,4062.20
11/26/2018,3837.00
11/27/2018,3866.50
11/28/2018,4265.40
11/29/2018,4296.50
11/30/2018,4039.70
12/1/2018,4196.20
12/2/2018,4160.40
12/3/2018,3897.80
12/4/2018,3958.50
12/5/2018,3771.60
12/6/2018,3508.60
12/7/2018,3422.20
12/8/2018,3430.40
12/9/2018,3567.50
12/10/2018,3460.50
12/11/2018,3407.70
12/12/2018,3466.10
12/13/2018,3315.30
12/14/2018,3247.80
12/15/2018,3228.70
12/16/2018,3247.90
12/17/2018,3526.10
12/18/2018,3668.00
12/19/2018,3687.10
12/20/2018,4076.00
12/21/2018,3850.90
12/22/2018,3964.40
12/23/2018,3944.40
12/24/2018,4026.10
12/25/2018,3762.50
12/26/2018,3793.70
12/27/2018,3586.90
12/28/2018,3861.60
12/29/2018,3706.80
12/30/2018,3815.00
12/31/2018,3709.40
1/1/2019,3809.40
1/2/2019,3873.80
1/3/2019,3780.10
1/4/2019,3802.70
1/5/2019,3785.40
1/6/2019,4004.10
1/7/2019,3985.90
1/8/2019,3971.00
1/9/2019,3978.00
1/10/2019,3603.70
1/11/2019,3616.50
1/12/2019,3597.20
1/13/2019,3490.20
1/14/2019,3638.10
1/15/2019,3571.30
1/16/2019,3588.00
1/17/2019,3626.40
1/18/2019,3605.60
1/19/2019,3677.80
1/20/2019,3542.30
1/21/2019,3536.70
1/22/2019,3580.10
1/23/2019,3561.50
1/24/2019,3574.30
1/25/2019,3572.00
1/26/2019,3570.90
1/27/2019,3555.60
1/28/2019,3442.80
1/29/2019,3414.80
1/30/2019,3460.00
1/31/2019,3437.20
2/1/2019,3467.90
2/2/2019,3502.50
2/3/2019,3459.10
2/4/2019,3462.80
2/5/2019,3468.40
2/6/2019,3404.30
2/7/2019,3397.70
2/8/2019,3661.70
2/9/2019,3661.40
2/10/2019,3679.00
2/11/2019,3631.80
2/12/2019,3632.00
2/13/2019,3611.50
2/14/2019,3592.60
2/15/2019,3604.70
2/16/2019,3616.80
2/17/2019,3664.20
2/18/2019,3896.00
2/19/2019,3914.30
2/20/2019,3972.40
2/21/2019,3936.60
2/22/2019,3965.20
2/23/2019,4120.40
2/24/2019,3755.20
2/25/2019,3833.70
2/26/2019,3810.30
2/27/2019,3814.60
2/28/2019,3816.60
3/1/2019,3821.90
3/2/2019,3823.10
3/3/2019,3809.50
3/4/2019,3715.90
3/5/2019,3857.20
3/6/2019,3863.00
3/7/2019,3875.10
3/8/2019,3865.90
3/9/2019,3944.30
3/10/2019,3915.20
3/11/2019,3870.30
3/12/2019,3886.00
3/13/2019,3865.10
3/14/2019,3879.00
3/15/2019,3924.30
3/16/2019,4006.40
3/17/2019,3981.50
3/18/2019,3990.20
3/19/2019,4017.00
3/20/2019,4041.20
3/21/2019,3982.20
3/22/2019,3990.40
3/23/2019,4002.50
3/24/2019,3994.70
3/25/2019,3937.00
3/26/2019,3942.80
3/27/2019,4041.70
3/28/2019,4025.60
3/29/2019,4102.20
3/30/2019,4111.80
3/31/2019,4102.30
4/1/2019,4145.10
4/2/2019,4859.30
4/3/2019,4968.70
4/4/2019,4902.40
4/5/2019,5010.20
4/6/2019,5046.20
4/7/2019,5173.60
4/8/2019,5245.20
4/9/2019,5158.40
4/10/2019,5307.80
4/11/2019,5022.60
4/12/2019,5054.20
4/13/2019,5051.80
4/14/2019,5134.80
4/15/2019,5032.30
4/16/2019,5180.90
4/17/2019,5208.30
4/18/2019,5264.70
4/19/2019,5241.00
4/20/2019,5290.20
4/21/2019,5243.50
4/22/2019,5346.70
4/23/2019,5511.60
4/24/2019,5415.60
4/25/2019,5209.10
4/26/2019,5298.30
4/27/2019,5265.90
4/28/2019,5302.30
4/29/2019,5235.00
4/30/2019,5320.80
5/1/2019,5384.20
5/2/2019,5493.80
5/3/2019,5766.80
5/4/2019,5830.90
5/5/2019,5774.90
5/6/2019,5745.10
5/7/2019,5849.50
5/8/2019,5990.30
5/9/2019,6191.50
5/10/2019,6386.00
5/11/2019,7190.30
5/12/2019,6984.80
5/13/2019,7806.00
5/14/2019,7994.60
5/15/2019,8164.60
5/16/2019,7871.80
5/17/2019,7359.50
5/18/2019,7262.60
5/19/2019,8157.20
5/20/2019,7965.30
5/21/2019,7930.30
5/22/2019,7635.70
5/23/2019,7852.10
5/24/2019,7970.10
5/25/2019,8027.40
5/26/2019,8630.20
5/27/2019,8760.10
5/28/2019,8716.30
5/29/2019,8647.80
5/30/2019,8271.90
5/31/2019,8558.30
6/1/2019,8545.70
6/2/2019,8728.60
6/3/2019,8124.80
6/4/2019,7685.50
6/5/2019,7779.10
6/6/2019,7784.90
6/7/2019,7985.20
6/8/2019,7901.40
6/9/2019,7635.00
6/10/2019,7987.80
6/11/2019,7888.00
6/12/2019,8133.10
6/13/2019,8219.00
6/14/2019,8656.10
6/15/2019,8812.50
6/16/2019,8962.50
6/17/2019,9318.80
6/18/2019,9080.60
6/19/2019,9255.40
6/20/2019,9517.00
6/21/2019,10179.30
6/22/2019,10721.70
6/23/2019,10897.10
6/24/2019,11046.40
6/25/2019,11809.90
6/26/2019,13063.80
6/27/2019,11287.80
6/28/2019,12409.10
6/29/2019,11906.50
6/30/2019,10818.60
7/1/2019,10616.60
7/2/2019,10835.90
7/3/2019,11900.80
7/4/2019,11163.10
7/5/2019,10970.20
7/6/2019,11268.00
7/7/2019,11415.90
7/8/2019,12252.60
7/9/2019,12541.50
