Date,Price
03/21/2022,588881984
03/20/2022,589084992
03/19/2022,602390016
03/18/2022,597670976
03/17/2022,583897024
03/16/2022,586001024
03/15/2022,563257984
03/14/2022,564502016
03/13/2022,544824000
03/12/2022,557710016
03/11/2022,557427008
03/10/2022,565622016
03/09/2022,601364992
03/08/2022,559998976
03/07/2022,550099008
03/06/2022,556520000
03/05/2022,568894976
03/04/2022,566611968
03/03/2022,610198976
03/02/2022,631089984
03/01/2022,635612992
02/28/2022,615052992
02/27/2022,544169984
02/26/2022,560289024
02/25/2022,562259968
02/24/2022,551075968
02/23/2022,536916992
02/22/2022,550872000
02/21/2022,542499968
02/20/2022,553217984
02/19/2022,576174016
02/18/2022,577809984
02/17/2022,584844992
02/16/2022,626785984
02/15/2022,635052992
02/14/2022,609964992
02/13/2022,607500032
02/12/2022,607779968
02/11/2022,610379008
02/10/2022,626035008
02/09/2022,636012992
02/08/2022,635689024
02/07/2022,635004032
02/06/2022,608460032
02/05/2022,594499968
02/04/2022,596235008
02/03/2022,536000000
02/02/2022,533703008
02/01/2022,555390016
01/31/2022,552563008
01/30/2022,547217024
01/29/2022,550204992
01/28/2022,543961024
01/27/2022,535508992
01/26/2022,531184000
01/25/2022,532715008
01/24/2022,524865984
01/23/2022,522820000
01/22/2022,509241984
01/21/2022,531494016
01/20/2022,587385984
01/19/2022,600342016
01/18/2022,609249024
01/17/2022,606659008
01/16/2022,616441984
01/15/2022,615500032
01/14/2022,617686976
01/13/2022,609212992
01/12/2022,631260032
01/11/2022,613336000
01/10/2022,600323008
01/09/2022,604280000
01/08/2022,603320000
01/07/2022,600086976
01/06/2022,624000000
01/05/2022,635320000
01/04/2022,661104000
01/03/2022,668582976
01/02/2022,678422016
01/01/2022,684000000
12/31/2021,668630016
12/30/2021,678748032
12/29/2021,670025984
12/28/2021,686324992
12/27/2021,721891968
12/26/2021,719200000
12/25/2021,715500992
12/24/2021,720992000
12/23/2021,718998976
12/22/2021,695001024
12/21/2021,700102016
12/20/2021,676256000
12/19/2021,672910016
12/18/2021,674200000
12/17/2021,667475008
12/16/2021,686001024
12/15/2021,700035968
12/14/2021,696382976
12/13/2021,683980032
12/12/2021,720864000
12/11/2021,710520000
12/10/2021,686598016
12/09/2021,688817984
12/08/2021,724270016
12/07/2021,728542016
12/06/2021,729998976
12/05/2021,720526016
12/04/2021,726579968
12/03/2021,784025984
12/02/2021,815211008
12/01/2021,822953984
11/30/2021,820182016
11/29/2021,830505984
11/28/2021,821840000
11/27/2021,794217024
11/26/2021,780001024
11/25/2021,842566976
11/24/2021,817198016
11/23/2021,823404992
11/22/2021,809401984
11/21/2021,840000000
11/20/2021,851496000
11/19/2021,833820032
11/18/2021,817910016
11/17/2021,865867008
11/16/2021,866075008
11/15/2021,915660032
11/14/2021,932739008
11/13/2021,918713024
11/12/2021,918995008
11/11/2021,930523008
11/10/2021,937940992
11/09/2021,955000000
11/08/2021,958497024
11/07/2021,902390016
11/06/2021,879057024
11/05/2021,876654016
11/04/2021,880899008
11/03/2021,896001024
11/02/2021,896600000
11/01/2021,872400000
10/31/2021,871510016
10/30/2021,877273984
10/29/2021,880715008
10/28/2021,859996032
10/27/2021,838816000
10/26/2021,855649024
10/25/2021,886545024
10/24/2021,858344000
10/23/2021,866835968
10/22/2021,862001024
10/21/2021,878502976
10/20/2021,920353984
10/19/2021,900908992
10/18/2021,873603008
10/17/2021,865142016
10/16/2021,856145984
10/15/2021,864998016
10/14/2021,807100032
10/13/2021,813020032
10/12/2021,801008000
10/11/2021,819571008
10/10/2021,780952000
10/09/2021,781012992
10/08/2021,770060992
10/07/2021,764446016
10/06/2021,788364032
10/05/2021,731473024
10/04/2021,694936000
10/03/2021,685516992
10/02/2021,679318976
10/01/2021,684118016
09/30/2021,625750016
09/29/2021,598499008
09/28/2021,591606016
09/27/2021,619609984
09/26/2021,618800000
09/25/2021,613897024
09/24/2021,614547968
09/23/2021,637697984
09/22/2021,624000000
09/21/2021,591201024
09/20/2021,620072000
09/19/2021,679593984
09/18/2021,692622976
09/17/2021,679384000
09/16/2021,682576000
09/15/2021,686284032
09/14/2021,672774976
09/13/2021,648806976
09/12/2021,662700032
09/11/2021,653265984
09/10/2021,649720000
09/09/2021,669158016
09/07/2021,683078016
09/02/2021,704601984
09/01/2021,695353984
08/30/2021,702521024
08/23/2021,718822016
08/22/2021,708492992
08/21/2021,701563008
08/20/2021,704150016
08/19/2021,669948992
08/18/2021,654444992
08/17/2021,653219968
08/16/2021,665462976
08/15/2021,669387008
08/14/2021,668622976
08/13/2021,678297024
08/12/2021,641344000
08/11/2021,657556992
08/10/2021,656419968
08/09/2021,663000000
08/08/2021,627209984
08/07/2021,635000000
08/06/2021,611500032
08/05/2021,584009024
08/04/2021,570281984
08/03/2021,551827008
08/02/2021,568145024
08/01/2021,582040000
07/31/2021,599315008
07/30/2021,609000000
07/29/2021,578105984
07/28/2021,579260032
07/27/2021,569894976
07/26/2021,544310016
07/25/2021,510000000
07/24/2021,488856000
07/23/2021,484800000
07/22/2021,468000000
07/21/2021,466631008
07/20/2021,434780000
